Site,Site_name,Lat,Lon
003011,LEOPOLD DOWNS,-17.7535,125.3807
003012,LIVERINGA UPPER,-18.0483,124.1728
003013,LULUIGUI,-18.145,124.0275
003014,GOGO STATION,-18.2914,125.5869
003015,MEDA,-17.368,123.9956
003016,MOUNT ANDERSON,-18.0358,123.9286
003017,MOUNT HOUSE STATION,-17.0516,125.7051
003018,MYROODAH,-18.1225,124.2692
003019,NAPIER DOWNS,-17.3305,124.8166
003020,NERRIMA,-18.4922,124.3992
003021,NOONKANBAH,-18.4875,124.8231
003022,QUANBUN DOWNS,-18.3817,125.2267
003023,ROEBUCK PLAINS,-17.9315,122.4722
003024,UDIALLA,-17.9464,123.7383
003025,COCKATOO ISLAND,-16.0992,123.6161
003026,YEEDA,-17.6153,123.6483
003027,FOSSIL DOWNS,-18.1386,125.7764
003028,ANNA PLAINS,-19.2536,121.4861
003029,FRAZIER DOWNS,-18.7983,121.7125
003030,BIDYADANGA,-18.6844,121.7803
003031,LOMBADINA MISSION,-16.5167,122.8908
003032,DERBY AERO,-17.3706,123.6611
003033,BLINA,-17.7472,124.5283
003034,ECO BEACH,-18.3381,122.0758
003035,MUNJA,-16.4,124.95
003036,BROOME QUARANTINE STATION,-18.0,122.2167
003037,MUNKAYARRA,-17.4333,123.75
003038,LIVERINGA 2,-17.95,124.1667
003039,SILENT GROVE,-16.9667,125.3
003040,CAMBALLIN,-17.9903,124.1922
003041,KILTO STATION,-17.6924,122.7127
003042,TALGARNO,-19.2833,121.5
003043,CHRISTMAS CREEK HOMESTEAD,-18.8772,125.9207
003044,BROOKING SPRINGS,-18.1103,125.6431
003045,CALANGADIE,-19.1,121.5
003046,CHERRABUN,-18.4833,125.3333
003047,DAMPIER DOWNS,-18.4,123.1
003048,CHERRABUN,-18.9159,125.5264
003049,ISADELL DOWNS,-16.9,125.7
003050,LIVERINGA LOWER,-17.95,124.1667
003051,MOUNT BARNETT,-16.7372,125.9086
003052,MOUNT HART STATION,-16.8214,124.9151
003053,OBAGAMA,-16.7,123.9833
003054,POINT TORMENT,-17.1,123.7
003055,ROLLAH,-18.7,121.75
003056,THANGOO,-18.1792,122.3583
003057,CYGNET BAY,-16.4513,123.0087
003058,MILLAJIDDIE,-18.8333,124.95
003059,NITA DOWNS,-19.0861,121.6764
003060,ARDJORIE,-18.7667,123.6833
003061,KIMBOLTON RANGE STATION 1,-16.695,123.8625
003062,BEVERLEY SP,-16.5833,125.4833
003063,CHARNLEY RIVER,-16.7164,125.46
003064,FITZROY A.I.M,-18.1667,125.5833
003065,KALYEEDA,-18.55,124.7167
003066,PORT SMITH,-18.5175,121.8072
003067,GLAROSA POULTRY LODGE,-17.3333,123.6833
003068,DAMPIER DOWNS,-18.5077,123.4561
003069,KOOLAN ISLAND,-16.1306,123.7764
003070,OOBAGOOMA,-16.7667,123.9833
003071,NOONKANBAH AIRSTRIP,-18.5,124.8333
003072,ONE ARM POINT,-16.4508,123.0653
003073,KIMBOLTON,-16.6872,123.8375
003074,YAKKAMUNGA,-17.9343,123.4736
003075,DERBY MAIN ROADS,-17.3136,123.6497
003076,WESTERN FIELD,-19.3283,125.3886
